Issue key,Priority
HIVE-22636,Blocker
HIVE-25386,Blocker
HIVE-28166,Critical
HIVE-28202,Critical
HIVE-28190,Critical
HIVE-21750,Critical
HIVE-25538,Critical
HIVE-28121,Major
HIVE-28239,Major
HIVE-26339,Major
HIVE-28439,Major
HIVE-28173,Major
HIVE-28515,Major
HIVE-28266,Major
HIVE-28207,Major
HIVE-28451,Major
HIVE-28353,Major
HIVE-28264,Major
HIVE-26018,Major
HIVE-28278,Major
HIVE-28143,Major
HIVE-28285,Major
HIVE-28006,Major
HIVE-28366,Major
HIVE-28330,Major
HIVE-22633,Major
HIVE-20016,Major
HIVE-26778,Major
HIVE-19907,Major
HIVE-26017,Major
HIVE-26508,Major
HIVE-26415,Major
HIVE-25777,Major
HIVE-25905,Major
HIVE-25408,Major
HIVE-25605,Major
HIVE-25188,Major
HIVE-24944,Major
HIVE-23752,Major
HIVE-25316,Major
HIVE-24514,Major
HIVE-24165,Major
HIVE-24198,Major
HIVE-22290,Major
HIVE-21437,Major
HIVE-21880,Major
HIVE-22313,Major
HIVE-22955,Major
HIVE-20948,Major
HIVE-22950,Major
HIVE-22124,Major
HIVE-22009,Major
HIVE-21391,Major
HIVE-21951,Major
HIVE-21257,Major
HIVE-21244,Major
HIVE-20955,Major
HIVE-21019,Major
HIVE-20757,Major
HIVE-20577,Major
HIVE-20101,Major
HIVE-19664,Major
HIVE-28347,Minor
HIVE-28487,Minor
HIVE-28426,Minor
HIVE-21632,Minor
HIVE-25978,Minor
HIVE-24691,Minor
HIVE-21594,Minor
HIVE-22636,Blocker
HIVE-25386,Blocker
HIVE-28166,Critical
HIVE-28202,Critical
HIVE-28190,Critical
HIVE-21750,Critical
HIVE-25538,Critical
HIVE-28121,Major
HIVE-28239,Major
HIVE-26339,Major
HIVE-28439,Major
HIVE-28173,Major
HIVE-28515,Major
HIVE-28266,Major
HIVE-28207,Major
HIVE-28451,Major
HIVE-28353,Major
HIVE-28264,Major
HIVE-26018,Major
HIVE-28278,Major
HIVE-28143,Major
HIVE-28285,Major
HIVE-28006,Major
HIVE-28366,Major
HIVE-28330,Major
HIVE-22633,Major
HIVE-20016,Major
HIVE-26778,Major
HIVE-19907,Major
HIVE-26017,Major
HIVE-26508,Major
HIVE-26415,Major
HIVE-25777,Major
HIVE-25905,Major
HIVE-25408,Major
HIVE-25605,Major
HIVE-25188,Major
HIVE-24944,Major
HIVE-23752,Major
HIVE-25316,Major
HIVE-24514,Major
HIVE-24165,Major
HIVE-24198,Major
HIVE-22290,Major
HIVE-21437,Major
HIVE-21880,Major
HIVE-22313,Major
HIVE-22955,Major
HIVE-20948,Major
HIVE-22950,Major
HIVE-22124,Major
HIVE-22009,Major
HIVE-21391,Major
HIVE-21951,Major
HIVE-21257,Major
HIVE-21244,Major
HIVE-20955,Major
HIVE-21019,Major
HIVE-20757,Major
HIVE-20577,Major
HIVE-20101,Major
HIVE-19664,Major
HIVE-28347,Minor
HIVE-28487,Minor
HIVE-28426,Minor
HIVE-21632,Minor
HIVE-25978,Minor
HIVE-24691,Minor
HIVE-21594,Minor
