Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority
File,SessionHiveMetaStoreClient.java,18,1,16,1,3,,,,,3,5,1,127,,127,121,4,126,,3,36,23,64,,2537,198,2117,804,1274,223,,981,1406,608,1115,,11,,4,,,0.11,428,0,0,0.00,0.00,Blocker
File,TestTxnNoBuckets.java,37,2,28,7,2,,,,,1,0,3,24,,24,20,1,20,,0,2,1,17,,936,57,693,303,550,191,,400,447,136,345,,6,,1,,,0.28,40,0,0,0.00,0.00,Blocker
File,VectorCoalesce.java,40,5,28,8,6,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,245,34,150,37,100,61,,87,119,42,77,,27,,7,,,0.41,31,0,0,0.00,0.00,Critical
File,TableExport.java,16,0,13,3,3,,,,,3,0,1,22,,22,21,17,21,,2,9,1,9,,463,29,343,101,199,91,,155,222,93,147,,7,,4,,,0.27,66,0,0,0.00,0.00,Major
File,SessionHiveMetaStoreClient.java,18,1,16,1,3,,,,,3,5,1,127,,127,121,4,126,,3,36,23,64,,2537,198,2117,804,1274,223,,981,1406,608,1115,,11,,4,,,0.11,428,0,0,0.00,0.00,Blocker
File,TestTxnNoBuckets.java,37,2,28,7,2,,,,,1,0,3,24,,24,20,1,20,,0,2,1,17,,936,57,693,303,550,191,,400,447,136,345,,6,,1,,,0.28,40,0,0,0.00,0.00,Blocker
File,VectorCoalesce.java,40,5,28,8,6,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,245,34,150,37,100,61,,87,119,42,77,,27,,7,,,0.41,31,0,0,0.00,0.00,Critical
File,TableExport.java,16,0,13,3,3,,,,,3,0,1,22,,22,21,17,21,,2,9,1,9,,463,29,343,101,199,91,,155,222,93,147,,7,,4,,,0.27,66,0,0,0.00,0.00,Major
