Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
File,TestDruidRecordWriter.java,25,2,22,0,2,,,,,3,0,1,6,,6,6,4,6,,0,1,0,5,,251,27,206,107,127,19,,104,115,93,46,,3,,1,,,0.09,9,0,0,0.00,0.00,No bug,10,0,251,0,10,3,3,1098.3447839506173,1098.3447839506173,544.0,13
File,DruidStorageHandler.java,13,1,12,1,2,,,,,2,11,6,72,,72,48,5,59,,0,25,3,31,,1126,116,935,316,589,86,,367,516,250,339,,11,,4,,,0.09,161,0,0,0.00,0.00,No bug,27,0,1124,0,27,7,7,560.8611965811966,560.8611965811966,320.85714285714283,13
File,DruidStorageHandlerUtils.java,27,1,21,5,3,,,,,2,22,17,31,,32,1,0,23,,1,3,0,19,,878,55,663,263,408,162,,296,364,214,194,,14,,4,,,0.24,78,0,0,0.00,0.00,No bug,24,0,878,0,24,6,6,640.0657971014492,640.0657971014492,407.1666666666667,13
File,DruidStorageHandlerInfo.java,12,0,12,0,2,,,,,2,0,1,3,,3,3,1,3,,1,0,0,2,,72,7,45,13,26,20,,25,33,11,24,,5,,1,,,0.44,7,0,0,0.00,0.00,No bug,1,0,72,0,1,1,1,0,0,13.0,13
File,ResponseCookieHandler.java,6,0,6,0,1,,,,,1,0,1,6,,6,5,3,5,,0,0,0,5,,83,10,56,29,14,17,,26,33,23,12,,2,,1,,,0.30,7,0,0,0.00,0.00,No bug,2,0,83,0,2,1,1,3296.0222222222224,3296.0222222222224,45.0,45
File,DruidKerberosUtil.java,18,0,13,4,3,,,,,1,4,3,4,,4,0,0,4,,0,0,0,4,,127,16,76,37,35,35,,47,58,37,33,,5,,2,,,0.46,10,0,0,0.00,0.00,No bug,2,0,127,0,2,1,1,5309.172777777778,5309.172777777778,45.0,45
File,RetryResponseHolder.java,4,0,4,0,1,,,,,1,1,0,4,,4,3,2,4,,0,0,0,4,,46,6,23,8,5,17,,8,13,8,5,,1,,0,,,0.74,4,0,0,0.00,0.00,No bug,1,0,46,0,1,1,1,0,0,45.0,45
File,KerberosHttpClient.java,22,2,18,2,2,,,,,2,0,1,4,,4,4,2,4,,0,1,0,3,,142,17,93,44,46,32,,49,59,36,32,,5,,2,,,0.34,8,0,0,0.00,0.00,No bug,3,0,142,0,3,1,1,2654.586388888889,2654.586388888889,45.0,45
File,RetryIfUnauthorizedResponseHandler.java,9,0,8,0,2,,,,,1,0,1,7,,7,7,1,7,,0,2,0,5,,104,13,73,27,26,18,,25,38,18,21,,2,,1,,,0.25,12,0,0,0.00,0.00,No bug,1,0,104,0,1,1,1,0,0,45.0,45
File,HiveDruidSplit.java,6,0,6,0,1,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,85,13,51,23,20,21,,28,39,21,19,,2,,1,,,0.41,10,0,0,0.00,0.00,No bug,4,0,85,0,4,3,3,3200.142962962963,3200.142962962963,227.0,45
File,DruidQueryBasedInputFormat.java,22,1,19,3,4,,,,,2,5,1,10,,10,5,0,10,,0,5,0,5,,319,25,244,124,132,54,,137,167,99,99,,11,,2,,,0.22,37,0,0,0.00,0.00,No bug,16,0,319,0,16,5,5,774.1517037037037,774.1517037037037,141.2,12
File,DruidOutputFormat.java,37,4,32,1,3,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,183,22,140,87,75,21,,68,75,66,29,,6,,1,,,0.15,8,0,0,0.00,0.00,No bug,19,0,183,0,19,6,6,645.1264197530863,645.1264197530863,527.0,13
File,DruidRecordWriter.java,30,2,27,2,3,,,,,2,0,1,8,,8,8,9,8,,0,2,0,6,,331,33,266,103,166,32,,125,152,85,82,,7,,4,,,0.12,25,0,0,0.00,0.00,No bug,9,0,331,0,9,3,3,1472.7189236111112,1472.7189236111112,28.0,13
File,KafkaSupervisorIOConfig.java,10,0,10,0,3,,,,,1,1,1,17,,17,16,12,17,,0,1,0,16,,247,26,200,71,98,21,,77,108,42,67,,24,,1,,,0.10,59,0,0,0.00,0.00,No bug,1,0,247,0,1,1,1,0,0,13.0,13
File,TaskReportData.java,6,0,6,0,1,,,,,2,0,0,11,,9,11,10,11,,0,0,0,11,,125,16,88,44,22,21,,28,39,24,15,,4,,0,,,0.24,12,0,0,0.00,0.00,No bug,1,0,125,0,1,1,1,0,0,13.0,13
File,KafkaSupervisorReport.java,9,0,9,0,1,,,,,2,0,0,18,,18,18,12,18,,0,0,0,18,,231,25,185,86,60,21,,55,77,44,33,,5,,1,,,0.11,24,0,0,0.00,0.00,No bug,1,0,231,0,1,1,1,0,0,13.0,13
File,KafkaSupervisorSpec.java,11,0,11,0,3,,,,,1,0,0,8,,8,8,4,8,,0,0,0,8,,143,15,107,44,49,21,,33,47,23,25,,10,,1,,,0.20,22,0,0,0.00,0.00,No bug,1,0,143,0,1,1,1,0,0,13.0,13
File,KafkaSupervisorTuningConfig.java,12,0,12,0,3,,,,,1,1,0,11,,11,10,6,11,,0,1,0,10,,200,20,156,62,74,25,,47,67,28,40,,15,,1,,,0.16,33,0,0,0.00,0.00,No bug,1,0,200,0,1,1,1,0,0,13.0,13
File,KafkaTuningConfig.java,12,0,11,0,3,,,,,1,1,2,17,,17,16,9,17,,0,0,0,17,,272,28,218,76,102,26,,67,95,42,54,,14,,1,,,0.12,43,0,0,0.00,0.00,No bug,2,0,272,0,2,2,2,213.49055555555555,213.49055555555555,29.0,13
File,DruidSelectQueryRecordReader.java,8,0,7,0,2,,,,,2,0,1,6,,6,6,2,6,,0,0,1,5,,101,15,64,33,24,22,,34,44,25,24,,3,,1,,,0.34,10,0,0,0.00,0.00,No bug,10,1,101,0,10,4,4,1500.6251543209878,1500.6251543209878,563.75,45
File,HiveDruidSerializationModule.java,4,0,4,0,1,,,,,2,0,2,1,,1,1,0,1,,0,0,0,1,,40,5,14,10,4,21,,10,12,10,3,,1,,0,,,1.50,1,0,0,0.00,0.00,No bug,3,0,40,0,3,2,2,3029.267638888889,3029.267638888889,177.5,13
File,DruidSerDe.java,23,1,21,2,4,,,,,2,0,1,16,,16,11,4,11,,0,3,1,7,,483,24,416,142,265,47,,238,275,131,165,,17,,2,,,0.11,64,0,0,0.00,0.00,No bug,25,0,483,0,25,4,4,613.3963888888889,613.3963888888889,173.5,13
File,PeriodGranularitySerializer.java,9,0,8,1,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,54,9,26,18,7,19,,12,15,13,3,,1,,0,,,0.73,2,0,0,0.00,0.00,No bug,2,0,54,0,2,2,2,5724.8052777777775,5724.8052777777775,177.5,13
File,DruidWritable.java,5,0,4,0,1,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,81,15,46,23,12,20,,19,30,18,12,,3,,1,,,0.43,10,0,0,0.00,0.00,No bug,2,0,81,0,2,2,2,11964.450833333334,11964.450833333334,318.0,294
File,DruidGroupByQueryRecordReader.java,10,0,9,1,2,,,,,2,0,1,12,,12,9,4,9,,0,1,1,7,,162,17,115,58,51,30,,59,75,44,39,,3,,2,,,0.26,21,0,0,0.00,0.00,No bug,12,1,162,0,12,4,4,1303.3721717171718,1303.3721717171718,563.75,45
File,DruidTopNQueryRecordReader.java,9,0,8,0,2,,,,,2,0,1,6,,6,6,2,6,,0,0,1,5,,110,15,73,34,29,22,,36,48,26,25,,3,,2,,,0.30,12,0,0,0.00,0.00,No bug,9,1,110,0,9,3,3,1687.1033333333332,1687.1033333333332,227.0,45
File,DruidScanQueryRecordReader.java,8,0,8,0,2,,,,,2,0,1,6,,6,6,2,6,,0,0,1,5,,102,15,65,33,24,22,,36,48,27,26,,3,,2,,,0.34,12,0,0,0.00,0.00,No bug,2,0,102,0,2,2,2,514.0927777777778,514.0927777777778,61.0,13
File,DruidTimeseriesQueryRecordReader.java,7,0,7,0,2,,,,,2,0,1,6,,6,6,1,6,,0,0,1,5,,89,11,56,27,22,22,,26,35,19,18,,3,,1,,,0.39,11,0,0,0.00,0.00,No bug,9,0,89,0,9,4,4,1792.136736111111,1792.136736111111,563.75,45
File,DruidQueryRecordReader.java,11,0,10,1,2,,,,,2,0,1,13,,19,19,13,19,,0,1,1,17,,282,33,196,101,75,53,,102,126,77,57,,6,,3,,,0.27,22,0,0,0.00,0.00,No bug,8,0,282,0,8,3,3,1709.207261904762,1709.207261904762,227.0,45
File,DruidSerDeUtils.java,22,0,16,6,5,,,,,1,1,6,1,,1,0,0,1,,0,0,0,1,,68,8,32,16,19,28,,21,24,16,9,,5,,1,,,0.88,5,0,0,0.00,0.00,No bug,7,0,68,0,7,3,3,2249.471111111111,2249.471111111111,227.0,45
File,TOperationState.java,7,0,6,1,2,,,,,1,1,0,5,,3,4,10,5,,0,1,0,4,,66,7,46,18,23,13,,18,22,9,13,,10,,1,,,0.28,12,0,0,0.00,0.00,No bug,4,0,66,0,4,1,1,934.5053703703704,934.5053703703704,67.0,67
File,TGetDelegationTokenResp.java,9,0,8,1,2,,,,,6,3,7,43,,41,40,6,43,,1,2,0,40,,504,73,405,116,220,32,,183,280,102,195,,8,,3,,,0.08,95,0,0,0.00,0.00,No bug,4,0,504,0,4,2,2,5256.986018518519,5256.986018518519,66.5,66
