AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
19,3,15,2,1,1,0,1,5,5,5,1,5,0,0,0,5,140,24,92,50,57,24,61,69,45,39,2,1,0.26,7,0,0,0.0,0.0,No Bug,2,0,67,2,2,2,2,3289.8688888888887,3289.8688888888887,26.0,1
18,4,14,1,2,1,0,0,4,4,4,0,4,0,0,0,4,115,23,69,36,38,23,54,63,36,41,3,1,0.33,8,0,0,0.0,0.0,No Bug,0,0,0,0,1,1,0,0.0,0.0,96.0,96
13,2,9,2,1,1,0,0,6,6,6,0,6,0,0,0,6,119,22,68,35,39,29,47,55,30,38,2,1,0.43,7,0,0,0.0,0.0,No Bug,1,0,0,0,2,2,1,7052.948888888889,0.0,73.5,51
61,14,46,1,1,1,0,0,3,3,3,0,3,0,0,0,3,237,48,167,74,129,22,133,137,62,106,1,0,0.13,3,0,0,0.0,0.0,No Bug,1,0,0,0,2,2,1,4246.885555555556,0.0,254.5,96
29,6,22,1,1,1,0,0,5,5,5,0,5,0,0,1,4,193,41,129,62,95,23,97,103,50,79,1,0,0.18,5,0,0,0.0,0.0,No Bug,0,0,0,0,1,1,0,0.0,0.0,96.0,96
31,8,19,4,1,1,0,0,15,15,15,2,15,0,0,0,15,536,140,310,147,241,86,239,255,122,209,1,0,0.28,15,0,0,0.0,0.0,No Bug,0,0,0,0,1,1,0,0.0,0.0,96.0,96
19,5,15,0,2,1,0,0,2,2,2,0,2,0,0,0,2,76,14,43,28,21,19,35,40,28,23,2,1,0.44,4,0,0,0.0,0.0,No Bug,0,0,0,0,1,1,0,0.0,0.0,96.0,96
28,2,25,1,2,1,0,0,25,25,25,3,25,0,0,0,25,823,88,688,368,531,47,516,571,299,448,11,2,0.07,51,0,0,0.0,0.0,No Bug,3,0,18,21,4,4,3,3806.818333333333,4629.602083333333,558.5,96
49,6,39,4,2,1,0,0,8,8,8,2,8,0,0,0,8,467,60,356,232,276,51,261,277,177,221,2,1,0.14,15,0,0,0.0,0.0,No Bug,0,0,0,0,1,1,0,0.0,0.0,96.0,96
11,2,9,0,1,1,0,0,10,10,10,1,10,0,0,0,10,153,37,100,46,58,16,63,76,37,53,2,1,0.16,12,0,0,0.0,0.0,No Bug,1,0,0,0,2,2,1,1947.588611111111,0.0,315.0,96
