Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,Priority,CommitCount,FixCommitCount,AddedLines,DeletedLines,CommitCountBeforeRelease,DevelopersInVersion,DevelopersAllVersions,AvgTimeBetweenCommits,AvgTimeBetweenCommitsAllVersions,AvgExpertise,MinExpertise
File,AbstractOperatorDesc.java,4,0,4,0,1,1,0,0,11,11,11,5,11,0,0,0,11,87,17,53,30,13,17,20,32,21,11,1,0,0.32,11,0,0,0.0,0.0,Major,3,0,14,4,12,9,3,2616.373308080808,2425.5391666666665,352.3333333333333,28
File,OperatorDesc.java,0,0,0,0,0,1,0,0,0,8,8,0,8,0,0,0,8,33,3,13,12,0,17,11,12,12,0,0,0,1.31,0,0,0,0.0,0.0,Major,3,0,14,4,12,9,3,2616.373308080808,2425.5391666666665,352.3333333333333,28
File,OperatorDesc.java,0,0,0,0,0,1,0,0,0,8,8,0,8,0,0,0,8,33,3,13,12,0,17,11,12,12,0,0,0,1.31,0,0,0,0.0,0.0,Major,1,0,2,0,6,5,1,4953.869611111111,0.0,285.6,46
File,TezCompiler.java,26,4,20,2,4,1,0,0,15,15,15,1,15,0,8,5,2,504,73,376,148,212,55,205,276,141,170,10,5,0.15,58,0,0,0.0,0.0,Major,16,0,40,13,40,11,9,531.9996794871795,733.0087777777778,269.0,2
File,HashTableLoader.java,51,5,44,3,9,1,1,1,4,4,3,3,4,0,2,0,2,272,29,214,88,131,32,123,160,83,100,22,5,0.15,34,0,0,0.0,0.0,Major,9,0,41,21,31,9,7,675.0516666666666,808.3472222222222,296.55555555555554,1
File,HiveConf.java,7,0,6,1,2,9,53,21,125,122,73,740,126,17,16,0,93,3767,332,3196,2495,668,252,427,664,266,445,17,4,0.08,237,0,0,0.0,0.0,Major,173,11,832,169,783,62,34,83.10308859050868,70.19173288113696,122.2258064516129,1
File,MemoryDecider.java,17,2,14,1,3,5,0,1,13,13,13,4,13,0,7,0,6,305,48,226,98,117,34,129,177,99,99,15,4,0.15,39,0,0,0.0,0.0,Major,3,0,305,0,3,3,3,1899.420555555556,1899.420555555556,796.0,399
File,OrcFileMergeOperator.java,20,2,16,2,4,1,1,1,9,9,8,9,9,0,2,1,6,252,36,179,51,105,37,92,125,44,84,16,3,0.21,32,0,0,0.0,0.0,Critical,5,0,27,13,10,6,4,1314.9044753086418,1287.0497916666666,458.1666666666667,78
File,OrcFileStripeMergeRecordReader.java,7,0,6,1,1,1,0,0,12,12,12,8,12,0,0,2,10,140,20,95,37,42,25,55,73,34,41,5,3,0.26,17,0,0,0.0,0.0,Critical,5,0,3,0,7,3,2,1995.939305555556,1110.30875,120.33333333333331,78
File,OrcFileKeyWrapper.java,3,0,3,0,1,1,0,0,17,17,17,7,17,0,0,0,17,116,23,72,37,17,21,33,51,34,17,1,0,0.29,17,0,0,0.0,0.0,Critical,3,0,5,3,5,3,2,2993.908958333333,2116.4369444444446,120.33333333333331,78
File,ColumnProjectionUtils.java,10,0,7,3,2,1,14,7,15,15,1,0,15,0,4,0,11,210,22,121,51,63,67,60,88,47,53,3,2,0.55,25,0,0,0.0,0.0,Major,9,1,35,8,22,12,5,2499.244735449736,809.9131597222222,397.25,46
