Issue key,Priority
HIVE-20318,Blocker
HIVE-25662,Blocker
HIVE-19497,Blocker
HIVE-20342,Blocker
HIVE-19531,Blocker
HIVE-19599,Blocker
HIVE-18636,Blocker
HIVE-17923,Blocker
HIVE-19292,Critical
HIVE-21052,Critical
HIVE-17893,Critical
HIVE-18722,Critical
HIVE-18758,Critical
HIVE-19045,Critical
HIVE-19570,Critical
HIVE-17892,Critical
HIVE-19020,Critical
HIVE-18819,Critical
HIVE-18493,Critical
HIVE-17889,Critical
HIVE-17890,Critical
HIVE-18466,Critical
HIVE-18800,Critical
HIVE-18756,Critical
HIVE-17863,Critical
HIVE-17293,Critical
HIVE-21614,Major
HIVE-26891,Major
HIVE-16680,Major
HIVE-19658,Major
HIVE-19419,Major
HIVE-17914,Major
HIVE-19028,Major
HIVE-17574,Major
HIVE-20182,Major
HIVE-22247,Major
HIVE-22639,Major
HIVE-22108,Major
HIVE-20843,Major
HIVE-21146,Major
HIVE-18762,Major
HIVE-19558,Major
HIVE-19710,Major
HIVE-20586,Major
HIVE-18768,Major
HIVE-20337,Major
HIVE-20040,Major
HIVE-20185,Major
HIVE-20184,Major
HIVE-20181,Major
HIVE-20180,Major
HIVE-20021,Major
HIVE-19871,Major
HIVE-19576,Major
HIVE-19686,Major
HIVE-19364,Major
HIVE-17163,Major
HIVE-18806,Major
HIVE-18769,Major
HIVE-18707,Major
HIVE-18656,Major
HIVE-18528,Major
HIVE-18471,Major
HIVE-17916,Major
HIVE-18019,Major
HIVE-18174,Major
HIVE-17985,Major
HIVE-17790,Major
HIVE-17688,Major
HIVE-17201,Major
HIVE-17353,Major
HIVE-17158,Major
HIVE-17068,Major
HIVE-16928,Major
HIVE-16872,Major
HIVE-16760,Major
HIVE-26544,Minor
HIVE-20205,Minor
HIVE-23719,Minor
HIVE-17770,Minor
HIVE-18956,Trivial
