Issue key,Priority,files changed
HIVE-10233,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/plan/AbstractOperatorDesc.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/plan/OperatorDesc.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/parse/TezCompiler.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HashTableLoader.java; /Users/mac/hive/hive/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/MemoryDecider.java
HIVE-11031,Critical,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFileStripeMergeRecordReader.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFileKeyWrapper.java; /Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/io/orc/ColumnStatisticsImpl.java
HIVE-11035,Major,/Users/mac/hive/hive/serde/src/java/org/apache/hadoop/hive/serde2/ColumnProjectionUtils.java
HIVE-11023,Critical,/Users/mac/hive/hive/metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreDirectSql.java
HIVE-11966,Major,/Users/mac/hive/hive/jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java
HIVE-12405,Major,/Users/mac/hive/hive/ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java; /Users/mac/hive/hive/ql/src/test/org/apache/hadoop/hive/ql/exec/tez/InputSplitComparatorTest.java
local,No bug,/Users/mac/hive/hive/ant/src/org/apache/hadoop/hive/ant/DistinctElementsClassPath.java; /Users/mac/hive/hive/ant/src/org/apache/hadoop/hive/ant/GenVectorCode.java; /Users/mac/hive/hive/ant/src/org/apache/hadoop/hive/ant/QTestGenTask.java; /Users/mac/hive/hive/ant/src/org/apache/hadoop/hive/ant/GetVersionPref.java; /Users/mac/hive/hive/ant/src/org/apache/hadoop/hive/ant/GenVectorTestCode.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestHiveAccumuloHelper.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloHiveRow.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloConnectionParameters.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloRow.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestLazyAccumuloMap.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/TestAccumuloStorageHandler.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestPrimitiveComparisonFilter.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloPredicateHandler.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/TestAccumuloRangeGenerator.java; /Users/mac/hive/hive/accumulo-handler/src/test/org/apache/hadoop/hive/accumulo/predicate/compare/TestLongComparison.java
